run_name,phase,method,p,seed,delay_mode,spy_selection_method,bribed_nodes,total_packets,correct_guesses,accuracy,score_adv,mean_t80,median_t80,score_honest,missing_observation_packets
phase1_seed101,1,no_attack,0.5,101,none,none,0,200,0,0.0,0.0,0.5317103445529938,0.4663810729980469,1.8807232363340511,200
phase1_seed202,1,no_attack,0.5,202,none,none,0,200,0,0.0,0.0,0.5071519863605499,0.5040810108184814,1.9717954910839475,200
phase1_seed303,1,no_attack,0.5,303,none,none,0,200,0,0.0,0.0,0.6205935454368592,0.6127440929412842,1.6113606197693569,200
phase1_seed404,1,no_attack,0.5,404,none,none,0,200,0,0.0,0.0,0.5250869727134705,0.5091716051101685,1.9044464097677778,200
phase1_seed505,1,no_attack,0.5,505,none,none,0,200,0,0.0,0.0,0.9365914463996887,0.9484090805053711,1.067701401549264,200
phase2_seed101_spies1,2,first_spy,0.5,101,none,cluster_spread,1,200,21,0.105,0.105,0.5323530805110931,0.4671053886413574,1.68121502958289,0
phase2_seed101_spies1,2,advanced_timing,0.5,101,none,cluster_spread,1,200,32,0.16,0.16,0.5323530805110931,0.4671053886413574,1.5779001394967906,0
phase2_seed101_spies2,2,first_spy,0.5,101,none,cluster_spread,2,200,46,0.23,0.115,0.533449627161026,0.4674779176712036,1.4434352576041252,0
phase2_seed101_spies2,2,advanced_timing,0.5,101,none,cluster_spread,2,200,60,0.3,0.15,0.533449627161026,0.4674779176712036,1.3122138705492046,0
phase2_seed101_spies3,2,first_spy,0.5,101,none,cluster_spread,3,200,79,0.395,0.13166666666666668,0.5324294769763946,0.4648144245147705,1.136300723685933,0
phase2_seed101_spies3,2,advanced_timing,0.5,101,none,cluster_spread,3,200,157,0.785,0.26166666666666666,0.5324294769763946,0.4648144245147705,0.40380934808673646,0
phase2_seed101_spies4,2,first_spy,0.5,101,none,cluster_spread,4,200,86,0.43,0.1075,0.531472018957138,0.46519148349761963,1.0724929623171173,0
phase2_seed101_spies4,2,advanced_timing,0.5,101,none,cluster_spread,4,200,153,0.765,0.19125,0.531472018957138,0.46519148349761963,0.44216815113074126,0
phase2_seed101_spies5,2,first_spy,0.5,101,none,cluster_spread,5,200,97,0.485,0.097,0.5322814333438873,0.465908408164978,0.9675332779591386,0
phase2_seed101_spies5,2,advanced_timing,0.5,101,none,cluster_spread,5,200,154,0.77,0.154,0.5322814333438873,0.465908408164978,0.4321022406419453,0
phase2_seed101_spies6,2,first_spy,0.5,101,none,cluster_spread,6,200,113,0.565,0.09416666666666666,0.5342462944984436,0.46619951725006104,0.8142311972577796,0
